,Code,Location,city,state_or_country
367,SSM ,"Sault Ste. Marie, MI",Sault Ste. Marie, MI
368,STA  ,"St. Albans, VT",St. Albans, VT
369,STJ  ,"St. John, USVI",St. John, USVI
370,STL  ,"St. Louis, MO",St. Louis, MO
371,STR  ,"Santa Teresa, NM",Santa Teresa, NM
372,STZ  ,"St. Zacharie, ME",St. Zacharie, ME
373,SUM ,"Sumas, WA",Sumas, WA
374,SWE ,"Sweetgrass, MT",Sweetgrass, MT
375,SYR  ,"Syracuse, NY",Syracuse, NY
376,SYS  ,"San Ysidro, CA",San Ysidro, CA
377,TAC  ,"Tacoma, WA",Tacoma, WA
378,TAM ,"Tampa, FL",Tampa, FL
379,TEC  ,"Tecate, CA",Tecate, CA
380,THO ,"Thousand Islands Bridge, NY",Thousand Islands Bridge, NY
381,TOL  ,"Toledo, OH",Toledo, OH
382,TOR ,"Toronto, Ontario Canada",Toronto, Ontario Canada
383,TRL  ,"Trail Creek, MT",Trail Creek, MT
384,TRO ,"Trout River, NY",Trout River, NY
385,TRV  ,"Travis AFB, CA",Travis AFB, CA
386,TUC  ,"Tucson, AZ",Tucson, AZ
387,TUR  ,"Turner, MT",Turner, MT
388,VAN ,"Vancouver, WA",Vancouver, WA
389,VCB  ,"Vanceboro, ME",Vanceboro, ME
390,VCV  ,"Vancouver, BC Canada",Vancouver, BC Canada
391,VIB  ,Veterans International Bridge,Veterans International Bridge,
392,VIC  ,"Victoria, BC",Victoria, BC
393,VNB ,"Van Buren, ME",Van Buren, ME
394,WAL ,"Walhalla, ND",Walhalla, ND
395,WAR ,"Warroad, MN",Warroad, MN
396,WAS ,"Washington, DC",Washington, DC
397,WBE ,"West Berkshire, VT",West Berkshire, VT
398,WCM,"Willow Creek, MT",Willow Creek, MT
399,WHI ,"Whitetail, MT",Whitetail, MT
400,WHM,"Wildhorse, MT",Wildhorse, MT
401,WHO,"Westhope, ND",Westhope, ND
402,WHR ,Whirlpool Bridge,Whirlpool Bridge,
403,WHT ,"Whitlash, MT",Whitlash, MT
404,WIL  ,"Wilmington, NC",Wilmington, NC
405,WIN ,"Winnipeg, SK. Canada",Winnipeg, SK. Canada
406,WLL ,"Wilmington, DE",Wilmington, DE
407,WND,"Williston, ND (Int'l Airport)",Williston, ND (Int'l Airport)
408,WPB ,"West Palm Beach, FL",West Palm Beach, FL
409,WRA ,"Wrangell, AK",Wrangell, AK
410,WRB ,Whirlpool Bridge,Whirlpool Bridge,
411,YAK  ,"Yakima, WA",Yakima, WA
412,YOU ,"Youngstown, NY",Youngstown, NY
413,YSL  ,"Ysleta, TX",Ysleta, TX
414,YUI  ,"Yuma, AZ",Yuma, AZ
